parsed,fishbase
Allocyttus verrucosus,Allocyttus verrucosus
Allomycterus jaculiferus,Tragulichthys jaculiferus
Allomycterus pilatus,Allomycterus pilatus
Allosmerus elongatus,Allosmerus elongatus
Allothunnus fallai,Allothunnus fallai
Alopias superciliosus,Alopias superciliosus
Alopias vulpinus,Alopias vulpinus
Alosa aestivalis,Alosa aestivalis
Alosa alosa,Alosa alosa
Alosa fallax,Alosa fallax
Alosa mediocris,Alosa mediocris
Alosa pseudoharengus,Alosa pseudoharengus
Alosa sapidissima,Alosa sapidissima
Alphestes afer,Alphestes afer
Aluterus heudelotii,Aluterus heudelotii
Aluterus monoceros,Aluterus monoceros
Aluterus schoepfi,Aluterus schoepfii
Aluterus schoepfii,Aluterus schoepfii
Aluterus scriptus,Aluterus scriptus
Aluterus,NA
Amanses scopas,Amanses scopas
Ambassis jacksoniensis,Ambassis jacksoniensis
Ambassis urotaenia,Ambassis urotaenia
Ambiserrula jugosa,Ambiserrula jugosa
Ambloplites rupestris,Ambloplites rupestris
Amblyapistus,NA
Amblycirrhitus pinos,Amblycirrhitus pinos
Amblyeleotris fasciata,Amblyeleotris fasciata
Amblyeleotris,NA
Amblygaster sirm,Amblygaster sirm
Amblyglyphidodon aureus,Amblyglyphidodon aureus
Amblyglyphidodon batunai,Amblyglyphidodon batunai
Amblyglyphidodon curacao,Amblyglyphidodon curacao
Amblyglyphidodon indicus,Amblyglyphidodon indicus
Amblyglyphidodon leucogaster,Amblyglyphidodon leucogaster
Amblyglyphidodon ternatensis,Amblyglyphidodon ternatensis
Amblygobius nocturnus,Amblygobius nocturnus
Amblygobius phalaena,Amblygobius phalaena
Amblygobius rainfordi,Koumansetta rainfordi
Amblygobius sphynx,Amblygobius sphynx
Amblypomacentrus breviceps,Amblypomacentrus breviceps
Amblyraja badia,Amblyraja badia
Amblyraja georginian,NA
Amblyraja hyperborea,Amblyraja hyperborea
Amblyraja jenseni,Amblyraja jenseni
Amblyraja radiata,Amblyraja radiata
Ambophthalmos angustus,Ambophthalmos angustus
Ameiurus,NA
Ameiurus brunneus,Ameiurus brunneus
Ameiurus catus,Ameiurus catus
Ameiurus melas,Ameiurus melas
Ameiurus natalis,Ameiurus natalis
Ameiurus nebulosus,Ameiurus nebulosus
Ameiurus platycephalus,Ameiurus platycephalus
Amia calva,Amia calva
Ammodytes,NA
Ammodytes americanus,Ammodytes americanus
Ammodytes dubius,Ammodytes dubius
Ammodytes hexapterus,Ammodytes hexapterus
Ammodytes marinus,Ammodytes marinus
Ammodytes tobianus,Ammodytes tobianus
Ammodytidae,NA
Ammodytoides kimurai,Ammodytoides kimurai
Ammodytoides vagus,Ammodytoides vagus
Ammotretis lituratus,Ammotretis lituratus
Ammotretis rostratus,Ammotretis rostratus
Amphiprion akallopisos,Amphiprion akallopisos
Amphiprion akindynos,Amphiprion akindynos
Amphiprion bicinctus,Amphiprion bicinctus
Amphiprion chrysopterus,Amphiprion chrysopterus
Amphiprion clarkii,Amphiprion clarkii
Amphiprion ephippium,Amphiprion ephippium
Amphiprion melanopus,Amphiprion melanopus
Amphiprion ocellaris,Amphiprion ocellaris
Amphiprion percula,Amphiprion percula
Amphiprion perideraion,Amphiprion perideraion
Amphiprion sandaracinos,Amphiprion sandaracinos
Amphistichus koelzi,Amphistichus koelzi
Anacanthobatis,NA
Anacanthus barbatus,Anacanthus barbatus
Anampses caeruleopunctatus,Anampses caeruleopunctatus
Anampses elegans,Anampses elegans
Anampses geographicus,Anampses geographicus
Anampses lennardi,Anampses lennardi
Anampses lineatus,Anampses lineatus
Anampses melanurus,Anampses melanurus
Anampses meleagrides,Anampses meleagrides
Anampses neoguinaicus,Anampses neoguinaicus
Anampses,NA
Anampses twistii,Anampses twistii
Anarchias similis,Anarchias similis
Anarchopterus criniger,Anarchopterus criniger
Anarhichadidae,NA
Anarhichas,NA
Anarhichas denticulatus,Anarhichas denticulatus
Anarhichas lupis,NA
Anarhichas lupus,Anarhichas lupus
Anarhichas minor,Anarhichas minor
Anarhichas orientalis,Anarhichas orientalis
Anarrhichthys ocellatus,Anarrhichthys ocellatus
Anchoa cubana,Anchoa cubana
Anchoa hepsetus,Anchoa hepsetus
Anchoa lyolepis,Anchoa lyolepis
Anchoa mitchilli,Anchoa mitchilli
Anchoa,NA
Anchoviella perfasciata,Anchoviella perfasciata
Ancylopsetta dilecta,Ancylopsetta dilecta
Ancylopsetta ommata,Ancylopsetta ommata
Anguilla,NA
Anguilla anguilla,Anguilla anguilla
Anguilla australis,Anguilla australis
Anguilla dieffenbachii,Anguilla dieffenbachii
Anguilla leptocephali,NA
Anguilla rostrata,Anguilla rostrata
Anguilla,NA
Anguillidae,NA
Anguilliformes,NA
Anisotremus davidsonii,Anisotremus davidsonii
Anisotremus surinamensis,Anisotremus surinamensis
Anisotremus virginicus,Anisotremus virginicus
Anodontostoma chacunda,Anodontostoma chacunda
Anoplagonus inermis,Anoplagonus inermis
Anoplarchus purpurescens,Anoplarchus purpurescens
Anoplocapros amygdaloides,Anoplocapros amygdaloides
Anoplocapros inermis,Anoplocapros inermis
Anoplocapros lenticularis,Anoplocapros lenticularis
Anoplogaster,NA
Anoplogaster cornuta,Anoplogaster cornuta
Anoplopoma fimbria,Anoplopoma fimbria
Anotopterus pharao,Anotopterus pharao
Anoxypristis cuspidata,Anoxypristis cuspidata
Antennariidae,NA
