parsed,lcvp
Agonandra excelsa,Agonandra excelsa Griseb.
Agoseris,
Agoseris taraxacifolia,Agoseris parviflora (Nutt.) D.Dietr.
Agropyron repens,Elymus repens (L.) Gould
Agropyron smithii,Elymus smithii (Rydb.) Gould
Agrostis alpina,Agrostis alpina Scop.
Agrostis canina,Agrostis canina L.
Agrostis capillaris,Agrostis capillaris L.
Agrostis hyemalis,Agrostis hyemalis (Walter) Britton & al.
Agrostis rupestris,Agrostis rupestris All.
Agrostis stolonifera,Agrostis stolonifera L.
Agrostis vinealis,Agrostis vinealis Schreb.
Agrostistachys borneensis,Agrostistachys borneensis Becc.
Aidia wallichiana,Aidia densiflora (Wall.) Masam.
Ailanthus integrifolia,Ailanthus integrifolia Lam.
Aiphanes erinacea,Aiphanes erinacea (H.Karst.) H.Wendl.
Aizoon paniculatum,Aizoon paniculatum L.
Ajuga pyramidalis,Ajuga pyramidalis L.
Ajuga reptans,Ajuga reptans L.
Alangium,
Alangium ebenaceum,Alangium ebenaceum (C.B.Clarke) Harms
Alangium griffithii,Alangium uniloculare (Griff.) King
Alangium nobile,Alangium nobile (C.B.Clarke) Harms
Alangium ridleyi,Alangium ridleyi King
Alangium villosum,Alangium villosum (Blume) Wangerin
Albizia,
Albizia niopoides,Albizia niopoides (Benth.) Burkart
Albizia odoratissima,Albizia odoratissima (L.f.) Benth.
Albizia pedicellata,Albizia pedicellata Benth.
Albizia polycephala,Albizia polycephala (Benth.) Killip
Alchemilla,
Alchemilla alpina,Alchemilla alpina L.
Alchemilla caucasica,Alchemilla caucasica Buser
Alchemilla conjuncta,Alchemilla conjuncta Bab.
Alchemilla pentaphyllea,Alchemilla pentaphyllea L.
Alchemilla vulgaris,Alchemilla vulgaris L.
Alchornea,
Alchornea coelophylla,Alchornea coelophylla Pax & K.Hoffm.
Alchornea costaricensis,Alchornea costaricensis Pax & K.Hoffm.
Alchornea glandulosa,Alchornea glandulosa Poepp.
Alchornea latifolia,Alchornea latifolia Sw.
Alchornea rugosa,Alchornea rugosa (Lour.) Müll.Arg.
Alchornea triplinervia,Alchornea triplinervia (Spreng.) Müll.Arg.
Aleurites rockinghamensis,Aleurites rockinghamensis (Baill.) P.I.Forst.
Alibertia dwyeri,Alibertia dwyeri Delprete & C.H.Perss.
Alibertia edulis,Alibertia edulis (Rich.) A.Rich. ex DC.
Alibertia macrophylla,Cordiera macrophylla (K.Schum.) Kuntze
Allionia incarnata,Allionia incarnata L.
Allium,
Allium acuminatum,Allium acuminatum Hook.
Allium angulosum,Allium angulosum L.
Allium canadense,Allium canadense L.
Allium drummondii,Allium drummondii Regel
Allium macropetalum,Allium macropetalum Rydb.
Allium schoenoprasum,Allium schoenoprasum L.
Allium stellatum,Allium stellatum Nutt. ex KerGawl.
Allium textile,Allium textile A.Nelson & J.F.Macbr.
Allophylus cobbe,Allophylus cobbe (L.) Blume
Allophylus edulis,Allophylus edulis (A.St.-Hil. & al.) Radlk.
Allophylus excelsus,Allophylus excelsus (Triana & Planch.) Radlk.
Allophylus guaraniticus,Allophylus guaraniticus (A.St.-Hil.) Radlk.
Allophylus psilospermus,Allophylus psilospermus Radlk.
Alloplectus schultzei,Glossoloma schultzei (Mansf.) J.L.Clark
Alloxylon wickhamii,Alloxylon wickhamii (W.Hill & F.Muell.) P.H.Weston & Crisp
Alnus,
Alnus glutinosa,Alnus glutinosa (L.) Gaertn.
Alnus incana,Alnus incana (L.) Moench
Alnus rubra,Alnus rubra Bong.
Alnus sinuata,Alnus alnobetula (Ehrh.) K.Koch
Alnus viridis,Alnus alnobetula (Ehrh.) K.Koch
Alopecurus alpinus,Alopecurus alpinus Vill.
Alopecurus borealis,Alopecurus magellanicus Lam.
Alopecurus geniculatus,Alopecurus geniculatus L.
Alopecurus pratensis,Alopecurus pratensis L.
Aloysia virgata,Aloysia virgata (Ruiz & Pav.) Juss.
Alphitonia petriei,Alphitonia petriei Braid & C.T.White ex Braid
Alphitonia whitei,Alphitonia whitei Braid
Alphonsea,
Alphonsea elliptica,Alphonsea elliptica Hook.f. & Thomson
Alphonsea maingayi,Alphonsea maingayi Hook.f. & Thomson
Alseis blackiana,Alseis blackiana Hemsl.
Alseodaphne,
Alseodaphne nigrescens,Alseodaphne nigrescens (Gamble) Kosterm.
Alseodaphne peduncularis,Alseodaphne peduncularis (Hook.f.) Meisn.
Alseodaphne perakensis,Alseodaphne perakensis (Gamble) Kosterm.
Alsophila engelii,Cyathea engelii (R.M.Tryon) comb.ined.
Alsophila erinacea,Cyathea erinacea H.Karst.
Alstonia angustiloba,Alstonia angustiloba Miq.
Alstonia muelleriana,Alstonia muelleriana Domin
Alstonia scholaris,Alstonia scholaris (L.) R.Br.
Alternanthera philoxeroides,Alternanthera philoxeroides (Mart.) Griseb.
Amaioua corymbosa,Amaioua corymbosa Kunth
Amaioua guianensis,Amaioua guianensis Aubl.
Amaioua intermedia,Amaioua intermedia Mart. ex Schult. & Schult.f.
Amaranthus,
Amaranthus albus,Amaranthus albus L.
Amaranthus blitoides,Amaranthus blitoides S.Watson
Amaranthus palmer,Amaranthus palmeri S.Watson
Amaranthus palmeri,Amaranthus palmeri S.Watson
Amaranthus retroflexus,Amaranthus retroflexus L.
Ambrosia,
Ambrosia artemisifolia,
Ambrosia artemisiifolia,
Ambrosia psilostachya,Ambrosia psilostachya DC.
Ambrosia trifida,Ambrosia trifida L.
Amelanchier,
Amelanchier gravida,
Amelanchier laevis,Amelanchier laevis Wiegand
Ammocodon chenopoides,
Ammophila breviligulata,Calamagrostis breviligulata (Fernald) Saarela
Amorpha canescens,Amorpha canescens Pursh
Amphiachyris dracunculoides,Gutierrezia dracunculoides (DC.) O.Hoffm.
Amphithalea ericifolia,Amphithalea ericifolia (L.) Eckl. & Zeyh.
Anacardium,
Anacardium excelsum,Anacardium excelsum (Bertero ex Kunth) Skeels
Anacardium occidentale,Anacardium occidentale L.
Anacolosa heptandra,Anacolosa frutescens (Blume) Blume
Anadenanthera colubrina,Anadenanthera colubrina (Vell.) Brenan
Anadenanthera falcata,Anadenanthera peregrina (L.) Speg.
Anadenanthera macrocarpa,Anadenanthera colubrina (Vell.) Brenan
Anadenanthera peregrina,Anadenanthera peregrina (L.) Speg.
Anagallis minima,Anagallis minima (L.) E.H.L.Krause
Anaxagorea,
Anaxagorea javanica,Anaxagorea javanica Blume
Anaxagorea panamensis,Anaxagorea panamensis Standl.
Anaxeton laeve,Anaxeton laeve (Harv.) Lundgren
Andira anthelmia,Andira anthelmia (Vell.) J.F.Macbr.
Andira inermis,Andira inermis (W.Wright) DC.
Andira paniculata,Vouacapoua paniculata (Benth.) Kuntze
Andromeda polifolia,Andromeda polifolia L.
Andropogon,
Andropogon bicornis,Andropogon bicornis L.
Andropogon gerardii,Andropogon gerardii Vitman
Andropogon lateralis,Andropogon lateralis Nees
Andropogon selloanus,Andropogon selloanus (Hack.) Hack.
Androsace,
Androsace chamaejasme,Androsace obtusifolia All.
