value
AlgaeBase
multiple
NCBI
WoRMS
LCVP
TPL
COL
eBird
FishBase (Eschmeyer's Catalog of Fishes)
GBIF
ITIS
Open Tree of Life
IUCN
TAXREF
CASD
TaiCOL
SP2000CN
Tropicos
FishBase
SeaLifeBase
WikiData
EOL
GNR
GNI
Vascan
INPI
BOLD
Index Fungorum
NatServe
Wikipedia
Plants of the World
World Flora Online
USDA
Taxa Waterbeheer Nederland
GermanSL
ZooBank
