parsed,ebird
Pernis apivorus,Pernis apivorus
Pernis ptilorhynchus,Pernis ptilorhynchus
Petrochelidon pyrrhonota,Petrochelidon pyrrhonota
Peucedramus taeniatus,Peucedramus taeniatus
Phaethon,NA
Phaethon aethereus,Phaethon aethereus
Phaethon lepturus,Phaethon lepturus
Phaethon rubricauda,Phaethon rubricauda
Phainopepla,NA
Phainopepla nitens,Phainopepla nitens
Phalacrocoracidae,NA
Phalacrocoracidae,NA
Phalacrocorax,NA
Phalacrocorax aristotelis,Phalacrocorax aristotelis
Phalacrocorax atricep,NA
Phalacrocorax atriceps,Phalacrocorax atriceps
Phalacrocorax auritus,Phalacrocorax auritus
Phalacrocorax campbel,NA
Phalacrocorax capensi,NA
Phalacrocorax capillatus,Phalacrocorax capillatus
Phalacrocorax carbo,Phalacrocorax carbo
Phalacrocorax coronat,NA
Phalacrocorax fuscescens,Phalacrocorax fuscescens
Phalacrocorax neglect,NA
Phalacrocorax pelagicus,Phalacrocorax pelagicus
Phalacrocorax penicillatus,Phalacrocorax penicillatus
Phalaenoptilus nuttallii,Phalaenoptilus nuttallii
Phalaropodidae,NA
Phalaropus,NA
Phalaropus fulicaria,NA
Phalaropus fulicarius,Phalaropus fulicarius
Phalaropus lobatus,Phalaropus lobatus
Phalaropus tricolor,Phalaropus tricolor
Phasianidae,NA
Phasianus colchicus,Phasianus colchicus
Pheucticus ludovicianus,Pheucticus ludovicianus
Pheucticus melanocephalus,Pheucticus melanocephalus
Philomachus pugnax,NA
Phoebastria nigripes,Phoebastria nigripes
Phoebetria fusca,Phoebetria fusca
Phoebetria palpebrata,Phoebetria palpebrata
Phoebetria,NA
Phoenicurus auroreus,Phoenicurus auroreus
Phoenicurus ochruros,Phoenicurus ochruros
Phoenicurus phoenicurus,Phoenicurus phoenicurus
Phylloscopus,NA
Phylloscopus borealoides,Phylloscopus borealoides
Phylloscopus collybita,Phylloscopus collybita
Phylloscopus coronatus,Phylloscopus coronatus
Phylloscopus ijimae,Phylloscopus ijimae
Phylloscopus inornatus,Phylloscopus inornatus
Phylloscopus sibilatrix,Phylloscopus sibilatrix
Phylloscopus,NA
Phylloscopus trochiloides,Phylloscopus trochiloides
Phylloscopus trochilus,Phylloscopus trochilus
Phylloscopus xanthodryas,Phylloscopus xanthodryas
Pica hudsonia,Pica hudsonia
Pica nuttalli,Pica nuttalli
Pica pica,Pica pica
Picidae,NA
Picoides albolarvatus,NA
Picoides arcticus,Picoides arcticus
Picoides arizonae,NA
Picoides borealis,NA
Picoides dorsalis,Picoides dorsalis
Picoides nuttallii,NA
Picoides pubescens,NA
Picoides scalaris,NA
Picoides tridactylus,Picoides tridactylus
Picoides villosus,NA
Picus awokera,Picus awokera
Picus canus,Picus canus
Picus viridis,Picus viridis
Pinicola enucleator,Pinicola enucleator
Pipilio chlorurus,NA
Pipilo aberti,NA
Pipilo chlorurus,Pipilo chlorurus
Pipilo crissalis,NA
Pipilo erythrophthalmus,Pipilo erythrophthalmus
Pipilo fuscus,NA
Pipilo maculatus,Pipilo maculatus
Pipilo spec,NA
Piranga flava,Piranga flava
Piranga ludoviciana,Piranga ludoviciana
Piranga olivacea,Piranga olivacea
Piranga rubra,Piranga rubra
Pitangus sulphuratus,Pitangus sulphuratus
Pittidae,NA
Platalea leucorodia,Platalea leucorodia
Platalea minor,Platalea minor
Plectrophenax nivalis,Plectrophenax nivalis
Pluvialis apricaria,Pluvialis apricaria
Pluvialis apricarius,NA
Pluvialis fulva,Pluvialis fulva
Pluvialis squatarola,Pluvialis squatarola
Plylloscopus trochilus,NA
Podiceps auritus,Podiceps auritus
Podiceps cornutus,NA
Podiceps cristatus,Podiceps cristatus
Podiceps grisegena,Podiceps grisegena
Podiceps nigricollis,Podiceps nigricollis
Podicipediformes,NA
Podilymbus podiceps,Podilymbus podiceps
Poecile,NA
Poecile atrcapillus,NA
Poecile atricapillus,Poecile atricapillus
Poecile carolinensis,Poecile carolinensis
Poecile gambeli,Poecile gambeli
Poecile hudsonica,NA
Poecile hudsonicus,Poecile hudsonicus
Poecile montanus,Poecile montanus
Poecile palustris,Poecile palustris
Poecilepalustris,NA
Poecile rufescens,Poecile rufescens
Poecile varius,NA
Polioptila caerulea,Polioptila caerulea
Polioptila melanura,Polioptila melanura
Polioptilidae,NA
Polyborus plancus,NA
Polysticta stelleri,Polysticta stelleri
Pooecetes gramineus,Pooecetes gramineus
Porzana carolina,Porzana carolina
Porzana fusca,NA
Procellaria aequinoct,NA
Procellaria aequinoctialis,Procellaria aequinoctialis
Procellaria cinerea,Procellaria cinerea
Procellaria parkinsoni,Procellaria parkinsoni
Procellaria westlandica,Procellaria westlandica
Procellariidae,NA
Procellariiformes,NA
Progne subis,Progne subis
Protonotaria citrea,Protonotaria citrea
Prunella collaris,Prunella collaris
Prunella modularis,Prunella modularis
Prunella rubida,Prunella rubida
Psaltriparus minimus,Psaltriparus minimus
Psittacula krameri,Psittacula krameri
Pterodoma nigripennis,NA
Pterodroma,NA
Pterodroma arminjonia,NA
Pterodroma arminjoniana,Pterodroma arminjoniana
Pterodroma baraui,Pterodroma baraui
Pterodroma cookii,Pterodroma cookii
Pterodroma cookilaria,NA
Pterodroma externa,Pterodroma externa
Pterodroma hasitata,Pterodroma hasitata
Pterodroma incerta,Pterodroma incerta
Pterodroma inexpectat,NA
Pterodroma inexpectata,Pterodroma inexpectata
Pterodroma lessonii,Pterodroma lessonii
Pterodroma leucoptera,Pterodroma leucoptera
Pterodroma longirostris,Pterodroma longirostris
Pterodroma macroptera,Pterodroma macroptera
Pterodroma mollis,Pterodroma mollis
Pterodroma neglecta,Pterodroma neglecta
Pterodroma phaeopygia,Pterodroma phaeopygia
Pterodroma rostrata,NA
Pterodroma sandwichensis,Pterodroma sandwichensis
Pterodroma solandri,Pterodroma solandri
Pterodroma,NA
Pterodroma,NA
Pterodroma ultima,Pterodroma ultima
Ptychoramphus aleuticus,Ptychoramphus aleuticus
Puffinus,NA
Puffinus assimilis,Puffinus assimilis
Puffinus atrodorsalis,NA
Puffinus auricularis,Puffinus auricularis
Puffinus baroli,Puffinus baroli
Puffinus bulleri,NA
Puffinus carneipes,NA
Puffinus creatopus,NA
Puffinus gavia,Puffinus gavia
Puffinus gravis,NA
Puffinus griseus,NA
Puffinus lherminieri,Puffinus lherminieri
Puffinus opisthomelas,Puffinus opisthomelas
Puffinus pacificus,NA
Puffinus puffinus,Puffinus puffinus
Puffinus,NA
Puffinus,NA
Puffinus tenuirostris,NA
Puffinus yelkouan,Puffinus yelkouan
Pycnonotidae,NA
Pycnonotus sinensis,Pycnonotus sinensis
Pygoscelis adeliae,Pygoscelis adeliae
Pygoscelis antarctica,NA
Pygoscelis antartica,NA
Pygoscelis papua,Pygoscelis papua
Pyrocephalus rubinus,Pyrocephalus rubinus
Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax
Pyrrhula pyrrhula,Pyrrhula pyrrhula
Quiscalus major,Quiscalus major
Quiscalus mexicanus,Quiscalus mexicanus
Quiscalus quiscula,Quiscalus quiscula
Rallus aquaticus,Rallus aquaticus
Recurvirostra americana,Recurvirostra americana
Recurvirostra avosetta,Recurvirostra avosetta
Regulus calendula,Regulus calendula
Regulus ignicapilla,Regulus ignicapilla
Regulus ignicapillus,NA
Regulus regules,NA
Regulus regulus,Regulus regulus
Regulus satrapa,Regulus satrapa
Remiz pendulinus,Remiz pendulinus
Riparia riparia,Riparia riparia
Rissa brevirostris,Rissa brevirostris
Rissa tridactyla,Rissa tridactyla
Rostratula benghalensis,Rostratula benghalensis
Rostrhamus sociabilis,Rostrhamus sociabilis
Rynchops niger,Rynchops niger
Salpinctes obsoletus,Salpinctes obsoletus
Saxicola rubetra,Saxicola rubetra
Saxicola torquata,NA
Saxicola torquatus,Saxicola torquatus
Sayornis nigricans,Sayornis nigricans
Sayornis phoebe,Sayornis phoebe
Sayornis saya,Sayornis saya
Sayornis spec,NA
Scolopacidae,NA
Scolopax rusticola,Scolopax rusticola
Seiurus aurocapilla,Seiurus aurocapilla
Seiurus aurocapillus,NA
Seiurus motacilla,NA
Seiurus noveboracensis,NA
Selasphorus platycercus,Selasphorus platycercus
Selasphorus rufus,Selasphorus rufus
Selasphorus sasin,Selasphorus sasin
Setophaga americana,Setophaga americana
Setophaga caerulescens,Setophaga caerulescens
Setophaga castanea,Setophaga castanea
Setophaga coronata,Setophaga coronata
Setophaga fusca,Setophaga fusca
Setophaga magnolia,Setophaga magnolia
Setophaga pensylvanica,Setophaga pensylvanica
Setophaga pinus,Setophaga pinus
Setophaga ruticilla,Setophaga ruticilla
Setophaga striata,Setophaga striata
Setophaga tigrina,Setophaga tigrina
Setophaga virens,Setophaga virens
Sialia currucoides,Sialia currucoides
Sialia mexicana,Sialia mexicana
Sialia sialis,Sialia sialis
Sialia spec,NA
Sitta canadensis,Sitta canadensis
Sitta carolinensis,Sitta carolinensis
Sitta europaea,Sitta europaea
Sitta pusilla,Sitta pusilla
Sitta pygmaea,Sitta pygmaea
Sittidae,NA
Somateria,NA
Somateria fischeri,Somateria fischeri
Somateria mollissima,Somateria mollissima
Somateria spectabilis,Somateria spectabilis
Speotyto cunicularia,NA
Sphyrapicus nuchalis,Sphyrapicus nuchalis
Sphyrapicus ruber,Sphyrapicus ruber
Sphyrapicus thyroideus,Sphyrapicus thyroideus
Sphyrapicus varius,Sphyrapicus varius
Spindalis zena,Spindalis zena
Spinus pinus,Spinus pinus
Spinus tristis,Spinus tristis
Spiza americana,Spiza americana
Spizella arborea,NA
Spizella atrogularis,Spizella atrogularis
Spizella breweri,Spizella breweri
Spizella pallida,Spizella pallida
Spizella passerina,Spizella passerina
Spizella pusilla,Spizella pusilla
Spodiopsar cineraceus,Spodiopsar cineraceus
Stelgidopteryx serripennis,Stelgidopteryx serripennis
Stellula calliope,NA
Stercorariidae,NA
Stercorarius,NA
Stercorarius longicaudus,Stercorarius longicaudus
Stercorarius parasiti,NA
Stercorarius parasiticus,Stercorarius parasiticus
Stercorarius pomarinu,NA
Stercorarius pomarinus,Stercorarius pomarinus
Stercorarius skua,Stercorarius skua
Sterna,NA
Sterna albifrons,NA
Sterna anaethetus,NA
Sterna antillarum,NA
Sterna balaenarum,NA
Sterna bengalensis,NA
Sterna bergii,NA
Sterna caspia,NA
Sterna dougallii,Sterna dougallii
Sterna elegans,NA
Sterna forsteri,Sterna forsteri
Sterna fuscata,NA
Sterna hirundo,Sterna hirundo
Sterna,NA
Sterna maxima,NA
Sterna paradisaea,Sterna paradisaea
Sterna,NA
Sterna repressa,Sterna repressa
Sterna sandvicensis,NA
Sterna sumatrana,Sterna sumatrana
Sterna virgata,Sterna virgata
Sterna vittata,Sterna vittata
Sternula albifrons,Sternula albifrons
Streptopelia decaocto,Streptopelia decaocto
Streptopelia orientalis,Streptopelia orientalis
Streptopelia turtur,Streptopelia turtur
Strix aluco,Strix aluco
Strix nebulosa,Strix nebulosa
Strix occidentalis,Strix occidentalis
Strix uralensis,Strix uralensis
Strix varia,Strix varia
Sturnella magna,Sturnella magna
Sturnella neglecta,Sturnella neglecta
Sturnus vulgaris,Sturnus vulgaris
Sula,NA
Sula bedouti,NA
Sula dactylatra,Sula dactylatra
Sula leucogaster,Sula leucogaster
Sula sula,Sula sula
Sulidae,NA
Surnia ulula,Surnia ulula
Sylvia atricapilla,Sylvia atricapilla
Sylvia borin,Sylvia borin
Sylvia communis,Sylvia communis
Sylvia curruca,Sylvia curruca
Sylviidae,NA
Synthliboramphus,NA
Synthliboramphus antiquus,Synthliboramphus antiquus
Synthliboramphus craveri,Synthliboramphus craveri
Synthliboramphus hypoleucus,Synthliboramphus hypoleucus
Syrmaticus soemmerringii,Syrmaticus soemmerringii
Tachybaptus ruficollis,Tachybaptus ruficollis
Tachycineta bicolor,Tachycineta bicolor
Tachycineta thalassina,Tachycineta thalassina
Tadorna tadorna,Tadorna tadorna
Tarsiger cyanurus,Tarsiger cyanurus
Terpsiphone atrocaudata,Terpsiphone atrocaudata
Tetrao tetrix,Tetrao tetrix
Tetrao urogallus,Tetrao urogallus
Tetrastes bonasia,Tetrastes bonasia
Thalassarche bulleri,Thalassarche bulleri
Thalassarche carteri,NA
Thalassarche cauta,Thalassarche cauta
Thalassarche chrysostoma,Thalassarche chrysostoma
Thalassarche eremita,Thalassarche eremita
Thalassarche melanoph,NA
Thalassarche melanophrys,NA
Thalassarche salvini,Thalassarche salvini
Thalassarche steadi,NA
Thalassoica antarctica,Thalassoica antarctica
Threskiornithidae,NA
Thryomanes bewickii,Thryomanes bewickii
Thryothorus ludovicianus,Thryothorus ludovicianus
Todus mexicanus,Todus mexicanus
Toxostoma bendirei,Toxostoma bendirei
Toxostoma crissale,Toxostoma crissale
Toxostoma curvirostre,Toxostoma curvirostre
Toxostoma lecontei,Toxostoma lecontei
Toxostoma longirostre,Toxostoma longirostre
Toxostoma redivivum,Toxostoma redivivum
Toxostoma rufum,Toxostoma rufum
Treron formosae,Treron formosae
Treron sieboldii,Treron sieboldii
Tringa,NA
Tringa erythropus,Tringa erythropus
Tringa flavipes,Tringa flavipes
Tringa glareola,Tringa glareola
Tringa guttifer,Tringa guttifer
Tringa melanoleuca,Tringa melanoleuca
Tringa nebularia,Tringa nebularia
Tringa ochropus,Tringa ochropus
Tringa solitaria,Tringa solitaria
Tringa stagnatilis,Tringa stagnatilis
Tringa totanus,Tringa totanus
Trochilidae,NA
Troglodytes aedon,Troglodytes aedon
Troglodytes hiemalis,Troglodytes hiemalis
Troglodytes troglodytes,Troglodytes troglodytes
Troglodytidae,NA
Trogon elegans,Trogon elegans
Turdidae,NA
Turdus cardis,Turdus cardis
Turdus chrysolaus,Turdus chrysolaus
Turdus iliacus,Turdus iliacus
Turdus merula,Turdus merula
Turdus migratorius,Turdus migratorius
Turdus naumanni,Turdus naumanni
Turdus obscurus,Turdus obscurus
Turdus philomelos,Turdus philomelos
Turdus pilaris,Turdus pilaris
Turdus plumbeus,Turdus plumbeus
Turdus torquatus,Turdus torquatus
Turdus viscivorus,Turdus viscivorus
Tympanuchus cupido,Tympanuchus cupido
Tympanuchus pallidicinctus,Tympanuchus pallidicinctus
Tympanuchus phasianellus,Tympanuchus phasianellus
Tyrannus couchii,Tyrannus couchii
Tyrannus crassirostris,Tyrannus crassirostris
Tyrannus dominicensis,Tyrannus dominicensis
Tyrannus forficatus,Tyrannus forficatus
Tyrannus melancholicus,Tyrannus melancholicus
Tyrannus tyrannus,Tyrannus tyrannus
Tyrannus verticalis,Tyrannus verticalis
Tyrannus vociferans,Tyrannus vociferans
Tyto alba,Tyto alba
Upupa epops,Upupa epops
Uragus sibiricus,NA
Uria,NA
Uria aalge,Uria aalge
Uria lomvia,Uria lomvia
Uria,NA
Urosphena squameiceps,Urosphena squameiceps
Vanellus cinereus,Vanellus cinereus
Vanellus vanellus,Vanellus vanellus
Vermivora celata,NA
Vermivora chrysoptera,Vermivora chrysoptera
Vermivora cyanoptera,Vermivora cyanoptera
Vermivora luciae,NA
Vermivora peregrina,NA
Vermivora pinus,NA
Vermivora ruficapilla,NA
Vermivora virginiae,NA
Vireo,NA
Vireo altiloquus,Vireo altiloquus
Vireo atricapillus,NA
Vireo bellii,Vireo bellii
Vireo cassinii,Vireo cassinii
Vireo flavifrons,Vireo flavifrons
Vireo gilvus,Vireo gilvus
Vireo griseus,Vireo griseus
Vireo huttoni,Vireo huttoni
Vireo olivaceu,NA
Vireo olivaceus,Vireo olivaceus
Vireo philadelphicus,Vireo philadelphicus
Vireo plumbeus,Vireo plumbeus
Vireo solitarius,Vireo solitarius
Vireo spec,NA
Vireo unidentified,NA
Vireo vicinior,Vireo vicinior
Wilsonia canadensis,NA
Wilsonia citrina,NA
Wilsonia pusilla,NA
Xanthocephalus xanthocephalus,Xanthocephalus xanthocephalus
Xema sabini,Xema sabini
Xenus cinereus,Xenus cinereus
Zenaida asiatica,Zenaida asiatica
Zenaida macroura,Zenaida macroura
Zonotrichia albicollis,Zonotrichia albicollis
Zonotrichia leucophrys,Zonotrichia leucophrys
Zonotrichia querula,Zonotrichia querula
Zoothera dauma,Zoothera dauma
Zoothera naevia,NA
Zoothera sibirica,NA
Zosterops japonicus,Zosterops japonicus
