parsed,ebird
Calidris temminckii,Calidris temminckii
Calidris tenuirostris,Calidris tenuirostris
Callipepla californica,Callipepla californica
Callipepla gambelii,Callipepla gambelii
Callipepla squamata,Callipepla squamata
Calonectris diomedea,Calonectris diomedea
Calypte anna,Calypte anna
Calypte costae,Calypte costae
Campephagidae,NA
Camptostoma imberbe,Camptostoma imberbe
Campylorhynchus brunneica,NA
Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus
Caprimulgus carolinensis,NA
Caprimulgus europaeus,Caprimulgus europaeus
Caprimulgus indicus,Caprimulgus indicus
Caprimulgus vociferus,NA
Cardellina canadensis,Cardellina canadensis
Cardellina rubrifrons,Cardellina rubrifrons
Cardinalidae,NA
Cardinalis cardinalis,Cardinalis cardinalis
Cardinalis sinuatus,Cardinalis sinuatus
Carduelis caniceps,NA
Carduelis cannabina,NA
Carduelis carduelis,Carduelis carduelis
Carduelis chloris,NA
Carduelis flammea,NA
Carduelis flavirostris,NA
Carduelis hornemanni,NA
Carduelis lawrencei,NA
Carduelis pinus,NA
Carduelis psaltria,NA
Carduelis spinus,NA
Carduelis tristis,NA
Carpodacus cassinii,NA
Carpodacus erythrinus,Carpodacus erythrinus
Carpodacus mexicanus,NA
Carpodacus purpureus,NA
Carpodacus roseus,Carpodacus roseus
Casmerodius albus,NA
Catharacta,NA
Catharacta antarctica,NA
Catharacta lonnbergi,NA
Catharacta maccormicki,NA
Catharacta skua,NA
Cathartes aura,Cathartes aura
Catharus bicknelli,Catharus bicknelli
Catharus fuscescens,Catharus fuscescens
Catharus guttatus,Catharus guttatus
Catharus minimus,Catharus minimus
Catharus mustelinus,NA
Catharus ustulatus,Catharus ustulatus
Catherpes mexicanus,Catherpes mexicanus
Catoptrophorus semipalmatus,NA
Centrocercus minimus,Centrocercus minimus
Centrocercus urophasianus,Centrocercus urophasianus
Cepphus,NA
Cepphus carbo,Cepphus carbo
Cepphus columba,Cepphus columba
Cepphus grylle,Cepphus grylle
Cepphus,NA
Cerorhinca monocerata,Cerorhinca monocerata
Certhia americana,Certhia americana
Certhia familaris,NA
Certhia familiaris,Certhia familiaris
Ceryle alcyon,NA
Cettia diphone,NA
Cettiidae,NA
Chaetura pelagica,Chaetura pelagica
Chaetura vauxi,Chaetura vauxi
Chamaea fasciata,Chamaea fasciata
Charadriidae,NA
Charadriiformes,NA
Charadrius alexandrinus,Charadrius alexandrinus
Charadrius dubius,Charadrius dubius
Charadrius hiaticula,Charadrius hiaticula
Charadrius leschenaultii,Charadrius leschenaultii
Charadrius mongolus,Charadrius mongolus
Charadrius montanus,Charadrius montanus
Charadrius morinellus,Charadrius morinellus
Charadrius placidus,Charadrius placidus
Charadrius semipalmatus,Charadrius semipalmatus
Charadrius veredus,Charadrius veredus
Charadrius vociferus,Charadrius vociferus
Chen caerulescens,NA
Chlidonias hybridus,NA
Chlidonias leucopteru,NA
Chlidonias leucopterus,Chlidonias leucopterus
Chlidonias niger,Chlidonias niger
Chloris sinica,Chloris sinica
Chlorostilbon maugeanus,NA
Chondestes grammacus,Chondestes grammacus
Chordeiles acutipennis,Chordeiles acutipennis
Chordeiles minor,Chordeiles minor
Ciconiiformes,NA
Cinclus cinclus,Cinclus cinclus
